"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 572875"," Report D30B180 ","-------------","-------------","-----------",""
"","applicable","\"   [ ]  Title XVIII"," Part A\"","   [ ]  IPF"," [ ]  SNF","  [ ]  Swing-Bed NF","   [ ]  TEFRA",""
"","boxes:","   [ ]  Title XIX","   [ ]  IRF"," [ ]  NF","  [ ]  ICF/MR","   [ ]  Other",""
"","","","","Ratio of Cost","Inpatient","Inpatient Program Costs",""
"","COST  CENTER  DESCRIPTION","","","to Charges","Program Charges","(col. 1 x col. 2)",""
"","","","","1","2","3",""
"","INPATIENT ROUTINE SERVICE COST CENTERS","","","","","",""
"30"," Adults and Pediatrics (General Routine Care)","","","","","","30"
"31"," Intensive Care Unit","","","","","","31"
"32"," Coronary Care Unit","","","","","","32"
"33"," Burn Intensive Care Unit","","","","","","33"
"34"," Surgical Intensive Care Unit","","","","","","34"
"35"," Other Special Care (specify)","","","","","","35"
"40"," Subprovider IPF","","","","","","40"
"41"," Subprovider IRF","","","","","","41"
"42"," Subprovider (Specify)","","","","","","42"
"43"," Nursery","","","","","","43"
"","ANCILLARY SERVICE COST CENTERS","","","","","",""
"50"," Operating Room","","","","","","50"
"51"," Recovery Room","","","","","","51"
"52"," Labor Room and Delivery Room","","","","","","52"
"53"," Anesthesiology","","","","","","53"
"54"," Radiology-Diagnostic","","","","","","54"
"55"," Radiology-Therapeutic","","","","","","55"
"56"," Radioisotope","","","","","","56"
"57"," Computed Tomography (CT) Scan","","","","","","57"
"58"," Magnetic Resonance Imaging (MRI)","","","","","","58"
"59"," Cardiac Catheterization","","","","","","59"
"60"," Laboratory","","","","","","60"
"61"," PBP Clinical Laboratory Services-Prgm. Only","","","","","","61"
"62"," Whole Blood & Packed Red Blood Cells","","","","","","62"
"63","\" Blood Storing"," Processing"," & Trans.\"","","","","","","63"
"64"," Intravenous Therapy","","","","","","64"
"65"," Respiratory Therapy","","","","","","65"
"66"," Physical Therapy","","","","","","66"
"67"," Occupational Therapy","","","","","","67"
"68"," Speech Pathology","","","","","","68"
"69"," Electrocardiology","","","","","","69"
"70"," Electroencephalography","","","","","","70"
"71"," Medical Supplies Charged to Patients","","","","","","71"
"72"," Implantable Devices Charged to Patients","","","","","","72"
"73"," Drugs Charged to Patients","","","","","","73"
"74"," Renal Dialysis","","","","","","74"
"75"," ASC (Non-Distinct Part)","","","","","","75"
"76"," Other Ancillary (specify)","","","","","","76"
"","OUTPATIENT SERVICE COST CENTERS","","","","","",""
"88"," Rural Health Clinic (RHC)","","","","","","88"
"89"," Federally Qualified Health Center (FQHC)","","","","","","89"
"90"," Clinic","","","","","","90"
"91"," Emergency","","","","","","91"
"92"," Observation Beds (see instructions)","","","","","","92"
"93"," Other Outpatient Service (specify)","","","","","","93"
"","OTHER REIMBURSABLE COST CENTERS","","","","","",""
"94"," Home Program Dialysis","","","","","","94"
"95"," Ambulance Services","","","","","","95"
"96"," Durable Medical Equipment-Rented","","","","","","96"
"97"," Durable Medical Equipment-Sold","","","","","","97"
"98"," Other Reimbursable (specify)","","","","","","98"
"200"," Total (sum of lines 50-94 and 96-98)","","","","","","200"
"201"," Less PBP Clinic Laboratory Services-Program only charges (line 61)","","","","","","201"
"202"," Net Charges (line 200 minus line 201)","","","","","","202"
"Entity[572875] Report(D30B180)", ,"Entity[572875] Report(D30B180[00100])","Entity[572875] Report(D30B180[00200])","Entity[572875] Report(D30B180[00300])"
"Line(04000)", , ,"11459788"
"Line(05000)", ,"0","106624","24517"
"Line(05100)", ,"1","5818","3738"
"Line(05200)", ,"0","779","292"
"Line(05300)", ,"0","95643","18506"
"Line(05400)", ,"0","105064","19970"
"Line(05500)", ,"0","21713","3825"
"Line(05501)", ,"0","3501","625"
"Line(05700)", ,"0","103111","11878"
"Line(05800)", ,"0","206486","25462"
"Line(05900)", ,"0","8221","1041"
"Line(06000)", ,"0","569932","77016"
"Line(06001)", ,"0","133","59"
"Line(06300)", ,"0","50607","14518"
"Line(06400)", ,"0","18"
"Line(06500)", ,"0","60646","15602"
"Line(06600)", ,"0","312820","132220"
"Line(06900)", ,"0","15520","928"
"Line(06901)", ,"0","4036","997"
"Line(07000)", ,"0","40770","16169"
"Line(07100)", ,"0","8027","2337"
"Line(07200)", ,"0","5444","1785"
"Line(07300)", ,"0","440477","164015"
"Line(07400)", ,"1","3382","1860"
"Line(07600)", ,"0","320522","82895"
"Line(07697)", ,"1","5","4"
"Line(09000)", ,"1","10332","7358"
"Line(09100)", ,"0","504024","151242"
"Line(09200)", ,"0"
"Line(09201)", ,"0","4408","567"
"Line(09400)", ,"0"
"Line(20000)", , ,"3008063","779426"